TIPO SERVICO;TIPO;INICIO;FIM;PLANO;FORECOLOR;BACKCOLOR;WEBCLASS;WEBCLASSTEXT
SEDEX;ENVELOPE;1000000;89999999;108 - SEDEX ENVELOPE TTO/EXP;&HA95F27;0;bg-primary;text-white
SEDEX;ENVELOPE;90000000;94999999;105 - SEDEX ENVELOPE CID;&H529E9E;2;bg-success;text-white
SEDEX;ENVELOPE;95000000;95499999;302 - SEDEX ENVELOPE LOCAL;&H5F9C54;1;bg-secondary;text-white
SEDEX;ENVELOPE;95500000;95669999;108 - SEDEX ENVELOPE TTO/EXP;&HA95F27;0;bg-primary;text-white
SEDEX;ENVELOPE;95670000;95759999;302 - SEDEX ENVELOPE LOCAL;&H5F9C54;1;bg-secondary;text-white
SEDEX;ENVELOPE;95760000;95799999;108 - SEDEX ENVELOPE TTO/EXP;&HA95F27;0;bg-primary;text-white
SEDEX;ENVELOPE;95800000;95839999;302 - SEDEX ENVELOPE LOCAL;&H5F9C54;1;bg-secondary;text-white
SEDEX;ENVELOPE;95840000;95864999;108 - SEDEX ENVELOPE TTO/EXP;&HA95F27;0;bg-primary;text-white
SEDEX;ENVELOPE;95865000;95999999;302 - SEDEX ENVELOPE LOCAL;&H5F9C54;1;bg-secondary;text-white
SEDEX;ENVELOPE;96000000;99199999;108 - SEDEX ENVELOPE TTO/EXP;&HA95F27;0;bg-primary;text-white
SEDEX;ENVELOPE;99200000;99249999;302 - SEDEX ENVELOPE LOCAL;&H5F9C54;1;bg-secondary;text-white
SEDEX;ENVELOPE;99250000;99999999;108 - SEDEX ENVELOPE TTO/EXP;&HA95F27;0;bg-primary;text-white
PAC;PACOTE;1000000;89999999;304 - PAC EXP;&H73609F;4;bg-info;text-white
PAC;PACOTE;90000000;94999999;111 - PAC IMP;&H5E606F;5;bg-light;text-dark
PAC;PACOTE;95000000;95499999;303 - PAC IMP LOCAL;&H844869;6;bg-dark;text-white
PAC;PACOTE;95500000;95669999;111 - PAC IMP;&H5E606F;5;bg-light;text-dark
PAC;PACOTE;95670000;95759999;303 - PAC IMP LOCAL;&H844869;6;bg-dark;text-white
PAC;PACOTE;95760000;95799999;111 - PAC IMP;&H5E606F;5;bg-light;text-dark
PAC;PACOTE;95800000;95839999;303 - PAC IMP LOCAL;&H844869;6;bg-dark;text-white
PAC;PACOTE;95840000;95864999;111 - PAC IMP;&H5E606F;5;bg-light;text-dark
PAC;PACOTE;95865000;95999999;303 - PAC IMP LOCAL;&H844869;6;bg-dark;text-white
PAC;PACOTE;96000000;99199999;111 - PAC IMP;&H5E606F;5;bg-light;text-dark
PAC;PACOTE;99200000;99249999;303 - PAC IMP LOCAL;&H844869;6;bg-dark;text-white
PAC;PACOTE;99250000;99999999;111 - PAC IMP;&H5E606F;5;bg-light;text-dark
SEDEX;PACOTE;1000000;89999999;106 - SEDEX PACOTE TTO/EXP;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;90000000;94999999;104 - SEDEX PACOTE CID;&H529E9E;2;bg-success;text-white
SEDEX;PACOTE;95000000;95499999;301 - SEDEX PACOTE LOCAL;&H5F9C54;1;bg-secondary;text-white
SEDEX;PACOTE;95500000;95669999;106 - SEDEX PACOTE TTO/EXP;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;95670000;95759999;301 - SEDEX PACOTE LOCAL;&H5F9C54;1;bg-secondary;text-white
SEDEX;PACOTE;95760000;95799999;106 - SEDEX PACOTE TTO/EXP;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;95800000;95839999;301 - SEDEX PACOTE LOCAL;&H5F9C54;1;bg-secondary;text-white
SEDEX;PACOTE;95840000;95864999;106 - SEDEX PACOTE TTO/EXP;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;95865000;95999999;301 - SEDEX PACOTE LOCAL;&H5F9C54;1;bg-secondary;text-white
SEDEX;PACOTE;96000000;99199999;106 - SEDEX PACOTE TTO/EXP;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;99200000;99249999;301 - SEDEX PACOTE LOCAL;&H5F9C54;1;bg-secondary;text-white
SEDEX;PACOTE;99250000;99999999;106 - SEDEX PACOTE TTO/EXP;&HA95F27;0;bg-primary;text-white
