TIPO SERVICO;TIPO;INICIO;FIM;PLANO;FORECOLOR;BACKCOLOR;WEBCLASS;WEBCLASSTEXT
SEDEX;PACOTE;1000000;53689999;PLANO SEDEX;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;53700000;53989999;PLANO SEDEX;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;54000000;55119999;PLANO SEDEX;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;55190000;55199999;PLANO SEDEX;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;55290000;55304999;PLANO SEDEX;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;55590000;55619999;PLANO SEDEX;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;56000000;56119999;PLANO SEDEX;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;56170000;56189999;PLANO SEDEX;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;56210000;56219999;PLANO SEDEX;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;56280000;56399999;PLANO SEDEX;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;56440000;56459999;PLANO SEDEX;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;56500000;56519999;PLANO SEDEX;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;56900000;56929999;PLANO SEDEX;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;57000000;57099999;PLANO SEDEX;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;57300000;57319999;PLANO SEDEX;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;58000000;99999996;PLANO SEDEX;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;55150000;55169999;PLANO SEDEX;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;57100000;57129999;PLANO SEDEX;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;57150000;57179999;PLANO SEDEX;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;57200000;57209999;PLANO SEDEX;&HA95F27;0;bg-primary;text-white
