TIPO SERVICO;TIPO;INICIO;FIM;PLANO;FORECOLOR;BACKCOLOR;WEBCLASS;WEBCLASSTEXT
SEDEX;PACOTE;66000000;66899999;SEDEX CTCE BELEM - CID;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;67000000;67999999;SEDEX CTCE BELEM - CID;&HA95F27;0;bg-primary;text-white
SEDEX;PACOTE;66900000;66999999;SEDEX CTCE BELEM - TTO;&H5F9C54;1;bg-secondary;text-white
SEDEX;PACOTE;68000000;68899999;SEDEX CTCE BELEM - TTO;&H5F9C54;1;bg-secondary;text-white
SEDEX;PACOTE;1000000;65999999;SEDEX CTCE BELEM - OE;&H529E9E;2;bg-success;text-white
SEDEX;PACOTE;68900000;99999999;SEDEX CTCE BELEM - OE;&H529E9E;2;bg-success;text-white
PAC;PACOTE;66000000;66899999;PAC CTCE BELEM - CID;&H73609F;4;bg-info;text-white
PAC;PACOTE;67000000;67999999;PAC CTCE BELEM - CID;&H73609F;4;bg-info;text-white
PAC;PACOTE;66900000;66999999;PAC CTCE BELEM - TTO;&H5E606F;5;bg-light;text-dark
PAC;PACOTE;68000000;68899999;PAC CTCE BELEM - TTO;&H5E606F;5;bg-light;text-dark
PAC;PACOTE;1000000;65999999;PAC CTCE BELEM - OE;&H844869;6;bg-dark;text-white
PAC;PACOTE;68900000;99999999;PAC CTCE BELEM - OE;&H844869;6;bg-dark;text-white
SEDEX;ENVELOPE;66000000;66899999;ENV SDX CTCE BELEM - CID;&HA95F27;0;bg-primary;text-white
SEDEX;ENVELOPE;67000000;67999999;ENV SDX CTCE BELEM - CID;&HA95F27;0;bg-primary;text-white
SEDEX;ENVELOPE;66900000;66999999;ENV SDX CTCE BELEM - TTO;&H844869;3;bg-warning;text-white
SEDEX;ENVELOPE;68000000;68899999;ENV SDX CTCE BELEM - TTO;&H844869;3;bg-warning;text-white
SEDEX;ENVELOPE;1000000;65999999;ENV SDX CTCE BELEM - OE;&HA95F27;0;bg-primary;text-white
SEDEX;ENVELOPE;68900000;99999999;ENV SDX CTCE BELEM - OE;&HA95F27;0;bg-primary;text-white
