MCU;CANAL;SEGMENTO;REC_JAN;REC_FEV;REC_MAR;REC_ABR;REC_MAI;REC_JUN;REC_JUL;REC_AGO;REC_SET;REC_OUT;REC_NOV;REC_DEZ;REC_ACU;META_JAN;META_FEV;META_MAR;META_ABR;META_MAI;META_JUN;META_JUL;META_AGO;META_SET;META_OUT;META_NOV;META_DEZ;META_ACU;ANT_JAN;ANT_FEV;ANT_MAR;ANT_ABR;ANT_MAI;ANT_JUN;ANT_JUL;ANT_AGO;ANT_SET;ANT_OUT;ANT_NOV;ANT_DEZ;ANT_ACU
14463;A FATURAR;CONVENIÊNCIA;31,39999962;950,5999985;1155;1004,640015;0;0;0;0;0;0;0;0;3141,640013;1372,82;596,9299994;498;467,6699995;91,6324947;0;0;0;0;0;0;0;3027,052494;24,79999924;0;10241,24991;0;0;0;0;0;0;0;0;0;10266,04991
14463;A FATURAR;ENCOMENDA;4978,930063;2869,890062;4695,620049;2718,330021;1189,069992;0;0;0;0;0;0;0;16451,84019;3788,670004;3204,129997;4839,06;3647;1687,357925;0;0;0;0;0;0;0;17166,21793;3559,870004;1533,199999;3374,560002;3634,15005;1795,619998;0;0;0;0;0;0;0;13897,40005
14463;A FATURAR;INTERNACIONAL;0;132,3000031;0;0;0;0;0;0;0;0;0;0;132,3000031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14463;A FATURAR;MALOTE;578,5999756;0;304,6600018;211,7699986;0;0;0;0;0;0;0;0;1095,029976;1026,689999;907,8999982;976,62;912,6500009;368,9675614;0;0;0;0;0;0;0;4192,827559;1900,210026;483,239996;984,6199856;793,9299984;866,7899837;0;0;0;0;0;0;0;5028,789989
14463;A FATURAR;MARKETING;5527,799805;2516,00005;23,29999924;142,8499985;92,59999847;0;0;0;0;0;0;0;8302,54985;16,88999998;0;0;0;0;0;0;0;0;0;0;0;16,88999998;15,89999962;0;0;0;0;0;0;0;0;0;0;0;15,89999962
14463;A FATURAR;MENSAGEM;2607,400004;5219,139953;9038,249951;12939,64;3318,949997;0;0;0;0;0;0;0;33123,3799;10007,51001;6304,409987;5923,790012;4831,08999;2626,737112;0;0;0;0;0;0;0;29693,53711;4065,499978;4222,650005;8036,09987;9619,939908;5069,459987;0;0;0;0;0;0;0;31013,64975
14463;À VISTA;CONVENIÊNCIA;15904,8099;13703,90992;16769,97995;15889,28;9212,889987;0;0;0;0;0;0;0;71480,86976;3777,465803;3473,03087;4074,763354;3646,789734;1686,460778;0;0;0;0;0;0;0;16658,51054;22309,18001;15350,57995;20375,72996;16486,98995;6217,489967;0;0;0;0;0;0;0;80739,96983
14463;À VISTA;ENCOMENDA;53023,29974;40457,75001;44364,67009;45186,07987;17060,63995;0;0;0;0;0;0;0;200092,4397;71508,11986;65837,41;83002,01983;66231,82007;31249,76372;0;0;0;0;0;0;0;317829,1335;52983,52007;41817,75009;50880,37986;81526,96998;21754,69001;0;0;0;0;0;0;0;248963,31
14463;À VISTA;INTERNACIONAL;10049,09004;6949,900018;6714,750042;6747,050024;3405,100006;0;0;0;0;0;0;0;33865,89013;2865,84;2760,279997;3605,239996;2898,520006;1316,642738;0;0;0;0;0;0;0;13446,52274;10612,39996;9745,840073;14083,15009;8951,550034;6624,950058;0;0;0;0;0;0;0;50017,89021
14463;À VISTA;MARKETING;16933,05005;10123,99007;7352,799978;4657,049993;786,4999938;0;0;0;0;0;0;0;39853,39008;2874,740003;2547,090008;3075,7;2539,799997;1083,040011;0;0;0;0;0;0;0;12120,37002;13166,78001;6680,700045;3711,560005;2828,149984;1049,850008;0;0;0;0;0;0;0;27437,04005
14463;À VISTA;MENSAGEM;8722,55003;4195,060006;4610,690006;4904,26002;1312,280012;0;0;0;0;0;0;0;23744,84007;12274;11257,13;14035,82;11084,58001;4990,548884;0;0;0;0;0;0;0;53642,0789;5276,910001;5444,969987;6307,030005;5658,490007;3274,670028;0;0;0;0;0;0;0;25962,07003
14463;À VISTA;OUTROS;0;0;0;1146,419983;115,7400012;0;0;0;0;0;0;0;1262,159984;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14464;A FATURAR;CONVENIÊNCIA;21,25;23,34999943;20,39999962;19,4000001;0;0;0;0;0;0;0;0;84,39999914;105,96;46,02999995;52,98;52,62999995;6,022015272;0;0;0;0;0;0;0;263,6220152;35,39999962;8,149999619;30,70000076;70,64999866;8,149999619;0;0;0;0;0;0;0;153,0499983
14464;A FATURAR;ENCOMENDA;3935,459932;3466,619921;3468,859961;2823,550039;1066,780016;0;0;0;0;0;0;0;14761,26987;2985,820003;2488,129998;4211,97;3575,55;1415,044625;0;0;0;0;0;0;0;14676,51463;2029,399965;1889,979967;2642,15999;2815,299995;956,529995;0;0;0;0;0;0;0;10333,36991
14464;A FATURAR;MENSAGEM;20,14999962;22,54999924;0;0;0;0;0;0;0;0;0;0;42,69999886;14,19000001;0;0;0;6,428233984;0;0;0;0;0;0;0;20,618234;17,25;0;0;0;0;0;0;0;0;0;0;0;17,25
14464;À VISTA;CONVENIÊNCIA;1700,409992;1244,769988;2243,33998;1697,269994;1052,099978;0;0;0;0;0;0;0;7937,889931;2194,81097;1920,653481;2439,527224;2051,446625;1002,857746;0;0;0;0;0;0;0;9609,296046;1844,010002;2641,779973;3115,759965;2495,479976;596,4499931;0;0;0;0;0;0;0;10693,47991
14464;À VISTA;ENCOMENDA;14541,04989;13248,29998;14285,19987;13197,46994;4764,220043;0;0;0;0;0;0;0;60036,23972;13058,10997;12022,58;15157,00997;12094,60001;5706,523285;0;0;0;0;0;0;0;58038,82324;12570,68995;12194,38992;25587,66992;16125,60003;7836,439903;0;0;0;0;0;0;0;74314,78973
14464;À VISTA;INTERNACIONAL;176,4499969;212,3000031;0;0;0;0;0;0;0;0;0;0;388,75;828,83;798,2999992;1042,669999;838,2800017;380,7862035;0;0;0;0;0;0;0;3888,866203;0;177,6000061;757,5999908;206,8000031;209,5500031;0;0;0;0;0;0;0;1351,550003
14464;À VISTA;MARKETING;11,25;10,60000038;0;0;0;0;0;0;0;0;0;0;21,85000038;198,2600002;175,6600005;212,12;175,1599998;74,6898203;0;0;0;0;0;0;0;835,8898209;0;12,94999981;0;8,949999809;9,25;0;0;0;0;0;0;0;31,14999962
14464;À VISTA;MENSAGEM;1137,350006;1180,2;1683,640009;1420,499999;463,4999979;0;0;0;0;0;0;0;5885,190012;1824,61;1673,44;2086,51;1647,790002;741,8771609;0;0;0;0;0;0;0;7974,227163;1407,859995;1362,009987;1974,450004;1000,729991;993,6800224;0;0;0;0;0;0;0;6738,729999
