Sigla;Descrição;Categoria;Tipo Concoord
RR; OBJETO INTERNACIONAL REGISTRADO; REGISTRADO EXPORTAÇÃO;OUTROS
RS; OBJETO INTERNACIONAL REGISTRADO; PPR IMPORTAÇÃO;OUTROS
RT; OBJETO INTERNACIONAL REGISTRADO; PPR IMPORTAÇÃO;OUTROS
RU; OBJETO INTERNACIONAL REGISTRADO; PPR IMPORTAÇÃO;OUTROS
RV; OBJETO INTERNACIONAL REGISTRADO; PPR IMPORTAÇÃO;OUTROS
RW; OBJETO INTERNACIONAL REGISTRADO; PPR IMPORTAÇÃO;OUTROS
RX; OBJETO INTERNACIONAL REGISTRADO; PPR IMPORTAÇÃO;OUTROS
RY; OBJETO INTERNACIONAL REGISTRADO; PPR IMPORTAÇÃO;OUTROS
RZ; OBJETO INTERNACIONAL REGISTRADO; PPR IMPORTAÇÃO;OUTROS
SA; ETIQUETA SEDEX AGÊNCIA; SEDEX;SEDEX
SB; ETIQ SEDEX 10 FÍSICA; SEDEX 10;SEDEX
SC; SEDEX A COBRAR; SEDEX;SEDEX
SD; REMESSA EXPRESSA DETRAN; REMESSA EXPRESSA TALÃO/CARTÃO;SEDEX
SE; ETIQUETA LOGICA SEDEX; SEDEX;SEDEX
SF; SEDEX AGENCIA; SEDEX;SEDEX
SG; SEDEX DO SISTEMA SARA; SEDEX;SEDEX
SH; SEDEX COM AR DIGITAL; SEDEX CONTRATO;SEDEX
SI; ENCOMENDA SEDEX (ETIQ LOGICA); SEDEX;SEDEX
SJ; SEDEX HOJE; SEDEX HOJE;SEDEX
SK; SEDEX AGÊNCIA; SEDEX;SEDEX
SL; SEDEX LÓGICO; SEDEX CONTRATO;SEDEX
SM; SEDEX 12; SEDEX 12;SEDEX
SN; SEDEX AGÊNCIA; SEDEX;SEDEX
SO; SEDEX AGÊNCIA; SEDEX;SEDEX
SP; ETIQUETA FÍSICA SEDEX HOJE; SEDEX HOJE;SEDEX
SQ; ETIQUETA LÓGICA SEDEX ADM; SEDEX SERVIÇO;SEDEX
SR; ETIQUETA FÍSICA SEDEX; SEDEX;SEDEX
SS; ETIQUETA LOGICA SEDEX; SEDEX;SEDEX
ST; REM EXPRES TALAO/CARTAO SEM AR DIGITAL; REMESSA EXPRESSA TALÃO/CARTÃO;SEDEX
SU; ETIQUETA SEDEX ADMINISTRATIVO; SEDEX SERVIÇO;SEDEX
SV; REM EXPRES CRLV/CRV/CNH COM AR DIGITAL; REMESSA EXPRESSA TALÃO/CARTÃO;SEDEX
SW; ENCOMENDA SEDEX; SEDEX;SEDEX
SX; ETIQUETA LOGICA SEDEX 10; SEDEX 10;SEDEX
SY; REM EXPRES TALAO/CARTAO COM AR DIGITAL; REMESSA EXPRESSA TALÃO/CARTÃO;SEDEX
SZ; SEDEX AGÊNCIA; SEDEX;SEDEX
TA; ETIQ LOG SEDEX EXTRA GRANDE; SEDEX;SEDEX
TB; ETIQUETA LOGICA SEDEX HOJE; SEDEX HOJE;SEDEX
TC; ETIQUETA LOGICA SEDEX 10; SEDEX 10;SEDEX
TD; ETIQUETA LÓGICA SEDEX 12; SEDEX 12;SEDEX
TE; ETIQUETA LOGICA SEDEX; SEDEX;SEDEX
TF; ETIQUETA LOGICA SEDEX; SEDEX;SEDEX
TG; ETIQUETA LOGICA SEDEX; SEDEX;SEDEX
TH; ETIQUETA LOGICA SEDEX; SEDEX;SEDEX
TI; ETIQUETA LOGICA SEDEX; SEDEX;SEDEX
TJ; ETIQUETA LOGICA SEDEX; SEDEX;SEDEX
TK; ETIQUETA LÓGICA SEDEX; SEDEX;SEDEX
TR; OBJETO TREINAMENTO - NÃO GERA PRÉ-ALERTA; REGISTRADO CONVENCIONAL;OUTROS
TS; TESTE (OBJETO PARA TREINAMENTO); REGISTRADO CONVENCIONAL;OUTROS
TT; OBJETO INTERNACIONAL TESTE; OBJETO INTERNACIONAL;OUTROS
UA; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UB; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UC; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UD; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UE; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UF; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UG; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UH; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UI; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UJ; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UK; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UL; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UM; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UN; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UO; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UP; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UQ; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UR; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
US; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UT; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UU; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UV; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UW; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UX; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UY; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
UZ; PPS IMPORTACAO; PPS IMPORTAÇÃO;OUTROS
VA; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VB; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VC; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VD; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VE; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VF; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VG; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VH; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VI; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VJ; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VK; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VL; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VM; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VN; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VO; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VP; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VQ; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VR; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VS; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VT; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VU; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VV; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VW; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VX; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VY; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
VZ; OBJETO INTERNACIONAL COM VALOR DECLARADO; PPR IMPORTAÇÃO;OUTROS
XA; AVISO CHEGADA OBJETO INT TRIBUTADO; OBJETO INTERNACIONAL;OUTROS
XL; ETIQ LOG PACKET STANDARD; PACKET STANDARD IMPORTAÇÃO;OUTROS
XM; SEDEX MUNDI; OBJETO INTERNACIONAL;OUTROS
XP; CORREIOS PACKET MINI; PACKET MINI IMPORTAÇÃO;OUTROS
XR; OBJETO INTERNACIONAL (PPS TRIBUTADO); SIMPLES TRIBUTADO;OUTROS
XX; OBJETO INTERNACIONAL (PPS TRIBUTADO); SIMPLES TRIBUTADO;OUTROS
YA; ETIQUETA LOG URGENTE C/AR DIGITAL; REGISTRADO CONVENCIONAL;OUTROS
YB; ETIQUETA LOG REM ECON C/AR; REMESSA ECONÔMICA TALÃO/CARTÃO;OUTROS
YC; ETIQUETA LOG REM ECON S/AR; REMESSA ECONÔMICA TALÃO/CARTÃO;OUTROS
YD; ETIQUETA FISICA ECON MARKET YD; MALA D BÁSICA/IMPRESS NÃO URG;OUTROS
YF; ETIQUETA LOG REM EXPRESSA; REMESSA EXPRESSA TALÃO/CARTÃO;OUTROS
YG; ETIQUETA LOG REGIST URG; REGISTRADO LÓGICO;OUTROS
YI; ETIQUETA LOG REGIST URG; REGISTRADO LÓGICO;OUTROS
YJ; ETIQUETA LOG REGIST URG; REGISTRADO LÓGICO;OUTROS
YL; CORREIOS PACKET EXPRESS; PACKET EXPRESS IMPORTAÇÃO;OUTROS
YM; ETIQUETA LOG REGIST URG; REGISTRADO LÓGICO;OUTROS
YN; ETIQUETA LOG REGIST URG; REGISTRADO LÓGICO;OUTROS
YO; ETIQUETA LOG REGIST URG; REGISTRADO LÓGICO;OUTROS
YP; ETIQUETA LOG REGIST URG; REGISTRADO LÓGICO;OUTROS
YQ; ETIQUETA LOG REGIST URG; REGISTRADO LÓGICO;OUTROS
