Sigla;Descrição;Categoria;Tipo Concoord
DP; SEDEX PAGAMENTO ENTREGA; SEDEX;SEDEX
DQ; ETIQ LOG SEDEX BRADESCO; REMESSA EXPRESSA TALÃO/CARTÃO;SEDEX
DR; REM EXPRES COM AR DIGITAL SANTANDER; REMESSA EXPRESSA TALÃO/CARTÃO;OUTROS
DS; REM EXPRES COM AR DIGITAL SANTANDER; REMESSA EXPRESSA TALÃO/CARTÃO;OUTROS
DT; REGISTRADO DETRAN COM AR DIGITAL; REMESSA ECONÔMICA TALÃO/CARTÃO;OUTROS
DU; ENCOMENDA SEDEX; SEDEX;SEDEX
DV; SEDEX COM AR DIGITAL; SEDEX;SEDEX
DW; ENCOMENDA SEDEX (ETIQ LÓGICA); SEDEX;SEDEX
DX; SEDEX 10 LÓGICO; SEDEX 10;SEDEX
DY; ENCOMENDA SEDEX (ETIQ FÍSICA); SEDEX;SEDEX
DZ; ENCOMENDA SEDEX (ETIQ LOGICA); SEDEX;SEDEX
EA; OBJETO INTERNACIONAL EMS; EMS IMPORTAÇÃO;OUTROS
EB; OBJETO INTERNACIONAL EMS; EMS EXPORTAÇÃO;OUTROS
EC; OBJETO INTERNACIONAL EMS; EMS IMPORTAÇÃO;OUTROS
ED; OBJETO INTERNACIONAL EMS; EMS IMPORTAÇÃO;OUTROS
EE; OBJETO INTERNACIONAL EMS; EMS EXPORTAÇÃO;OUTROS
EF; OBJETO INTERNACIONAL EMS; EMS IMPORTAÇÃO;OUTROS
EG; OBJETO INTERNACIONAL EMS; EMS IMPORTAÇÃO;OUTROS
EH; OBJETO INTERNACIONAL EMS; EMS IMPORTAÇÃO;OUTROS
EI; OBJETO INTERNACIONAL EMS; EMS IMPORTAÇÃO;OUTROS
EJ; OBJETO INTERNACIONAL EMS; EMS IMPORTAÇÃO;OUTROS
EK; OBJETO INTERNACIONAL EMS; EMS IMPORTAÇÃO;OUTROS
EL; OBJETO INTERNACIONAL EMS; EMS IMPORTAÇÃO;OUTROS
EM; OBJETO INTERNACIONAL SEDEX MUNDI; SEDEX MUNDI EXPORTAÇÃO;OUTROS
EN; OBJETO INTERNACIONAL EMS; EMS IMPORTAÇÃO;OUTROS
EO; OBJETO INTERNACIONAL EMS; EMS IMPORTAÇÃO;OUTROS
EP; OBJETO INTERNACIONAL EMS; EMS IMPORTAÇÃO;OUTROS
EQ; OBJETO INTERNACIONAL EMS; EMS IMPORTAÇÃO;OUTROS
ER; OBJETO INTERNACIONAL EMS; EMS IMPORTAÇÃO;OUTROS
ES; OBJETO INTERNACIONAL EMS; EMS IMPORTAÇÃO;OUTROS
ET; OBJETO INTERNACIONAL EMS; EMS IMPORTAÇÃO;OUTROS
EU; OBJETO INTERNACIONAL EMS; EMS IMPORTAÇÃO;OUTROS
EV; OBJETO INTERNACIONAL EMS; EMS IMPORTAÇÃO;OUTROS
EW; OBJETO INTERNACIONAL EMS; EMS IMPORTAÇÃO;OUTROS
EX; OBJETO INTERNACIONAL EMS; EMS IMPORTAÇÃO;OUTROS
EY; OBJETO INTERNACIONAL EMS; EMS IMPORTAÇÃO;OUTROS
EZ; OBJETO INTERNACIONAL EMS; EMS IMPORTAÇÃO;OUTROS
